Name,Latitude,Longitude
Lakeshore General Hospital,45.4487003,-73.8332649
McGill University Health Centre (MUHC),45.4728825,-73.6017703
Montreal Children's Hospital,45.4725822,-73.6017873
Montreal General Hospital,45.4970688,-73.5893765
Montreal Neurological Hospital,45.5089963,-73.5813729
Douglas Hospital,45.4420179,-73.5839938
Royal Victoria Hospital,45.4729767,-73.6013656
Allan Memorial Institute,45.506025,-73.5821668
Montreal Chest Institute,45.5133138,-73.5745993
Montreal Heart Institute,45.5739331,-73.5778159
Shriners Hospital for Children – Canada,45.4718127,-73.6018115
Centre hospitalier Honoré-Mercier,45.6334388,-72.9603455
Barrie Memorial Hospital,45.1262482,-73.9998984
Centre hospitalier universitaire de Québec (CHUQ),46.7686347,-71.2825262
Hôtel-Dieu de Québec,46.8152882,-71.2108399
Hôpital Saint-François d’Assise,46.827533,-71.236389
Centre hospitalier de l'Université Laval (CHUL),46.7686347,-71.2825262
Centre hospitalier affilié universitaire de Québec (CHA),46.8372167,-71.2264263
Hôpital de l’Enfant-Jésus,46.837912,-71.2259638
Hôpital du Saint-Sacrement,46.7993801,-71.2464927
Institut universitaire de cardiologie et de pneumologie de Québec (IUCPQ),46.7790343,-71.2977055
Hôtel-Dieu de St. Jèrôme,45.7658895,-74.0001726
Hôpital du Suroît,45.250905,-74.1307026
Centre hospitalier universitaire de Sherbrooke (CHUS),45.3982305,-71.8790246
Assiniboia Union Hospital,49.6286569,-105.9831724
Balcarres Hospital,50.8030247,-103.5508482
Big River Hospital,53.8349348,-107.0330121
Broadview Union Hospital,50.3739021,-102.5846546
Canora Hospital,51.6255101,-102.4405574
Carrot River Union Hospital,40.515302,-81.455707
Cupar Health Centre,56.3242812,-3.0182181
Davidson Hospital,51.2666112,-105.9844709
Fillmore Health Centre,49.879067,-103.4361106
Foam Lake Health Centre,51.6413178,-103.5229672
L. Gervais Memorial Hospital Centre,54.4000158,-109.2266641
Humboldt District Hospital,52.2124959,-105.1210596
Kamsack Union Hospital,51.5574177,-101.8874913
Kerrobert Hospital,51.9135803,-109.1318555
Kindersley Hospital,51.4711092,-109.1644159
La Ronge Health Centre,55.105088,-105.2896681
Lanigan Hospital,51.952503,-103.795216
Leader Hospital,50.8906566,-109.5384745
Lloydminster Hospital,53.2724701,-109.9895381
Loon Lake Hospital,54.0273801,-109.1588281
Maidstone Hospital,53.0903635,-109.2939706
Maple Creek Hospital,49.9030517,-109.4876933
Meadow Lake Hospital,54.1235757,-108.4349174
Melfort Hospital,52.8657324,-104.6146323
Moose Jaw Union Hospital,50.3920408,-105.5238137
Nipawin Hospital,53.3559551,-104.0038797
Battlefords Union Hospital,52.7727402,-108.2886807
Redvers Health Centre,49.5727468,-101.6942135
Regina General Hospital,50.4438603,-104.6016595
Pasqua Hospital,50.4542219,-104.63876
Royal University Hospital,52.1314511,-106.6412713
Saskatoon City Hospital,52.1359669,-106.6538178
Swift Current Regional Hospital,50.310971,-107.775572
York Regional Health Centre,44.0454639,-79.4686442
Whitehorse General Hospital,60.7192939,-135.0436462
Watson Lake Community Hospital,60.0705482,-128.7105289
Dawson City Community Hospital,64.0566577,-139.434127
